episode_id,state_id,split,round,previous_outcome,cumulative_score,persistence_logit,q_A,q_B,q_STOP,continuation_advantage,best_forced_action,q_A_standard_error,q_B_standard_error,paired_A_minus_B_standard_error,rollouts_per_action,returns_A,returns_B
seed-12064-pa-0.20-pb-0.50,seed-12064-pa-0.20-pb-0.50:1,train,1,-2,-2.0,3.8490769841801082,-9.3,-7.5,0.0,-7.5,B,6.463659094420813,6.759766596891081,0.9043106644167023,10,"[-1.0,-6.0,-4.0,-5.0,-4.0,-4.0,-67.0,-4.0,-1.0,3.0]","[-1.0,-2.0,-2.0,0.0,1.0,-3.0,-68.0,-4.0,4.0,0.0]"
seed-12107-pa-0.35-pb-0.50,seed-12107-pa-0.35-pb-0.50:1,train,1,-2,-2.0,3.8490769841801082,2.5,-0.6,0.0,2.5,A,4.427816115824544,1.2840906856172147,3.8368100175941873,10,"[-2.0,-3.0,0.0,1.0,-1.0,-2.0,-6.0,-2.0,42.0,-2.0]","[7.0,-2.0,-5.0,1.0,-4.0,-2.0,-3.0,-2.0,6.0,-2.0]"
seed-12136-pa-0.20-pb-0.65,seed-12136-pa-0.20-pb-0.65:1,train,1,-2,-2.0,3.0075990353171704,-1.6,6.7,0.0,6.7,B,0.669991708074726,5.80239414188469,6.077371507851437,10,"[3.0,-4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,1.0,-2.0]","[-2.0,58.0,5.0,4.0,-2.0,1.0,3.0,-4.0,6.0,-2.0]"
seed-12486-pa-0.50-pb-0.35,seed-12486-pa-0.50-pb-0.35:5,train,5,3,10.0,3.5699361996449746,13.8,4.5,0.0,13.8,A,7.02819717676984,3.992353803070175,7.283237985645913,10,"[5.0,-12.0,3.0,19.0,26.0,26.0,13.0,1.0,-8.0,65.0]","[0.0,-6.0,4.0,14.0,16.0,31.0,-6.0,6.0,-8.0,-6.0]"
seed-12301-pa-0.20-pb-0.20,seed-12301-pa-0.20-pb-0.20:2,train,2,-2,-4.0,1.2575990353171704,-3.9,-4.7,0.0,-3.9,A,1.089852181618121,1.1647603473104098,0.771722460186015,10,"[-2.0,-6.0,-4.0,-12.0,-2.0,-5.0,1.0,-4.0,-2.0,-3.0]","[-3.0,-6.0,-6.0,-14.0,-4.0,-4.0,-5.0,-1.0,-2.0,-2.0]"
seed-12364-pa-0.35-pb-0.20,seed-12364-pa-0.35-pb-0.20:2,train,2,-2,-4.0,0.1004126516016477,0.2,-1.1,0.0,0.2,A,1.0519822558706333,1.3034143197344767,1.4146063449281963,10,"[-2.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,6.0,6.0,-2.0]","[-2.0,-2.0,-6.0,8.0,-2.0,-2.0,-2.0,-5.0,4.0,-2.0]"
seed-12423-pa-0.50-pb-0.65,seed-12423-pa-0.50-pb-0.65:2,train,2,-2,1.0,3.6368710061149017,36.8,44.6,0.0,44.6,B,8.478469463555578,14.258097114739165,8.901685233707154,10,"[39.0,59.0,6.0,9.0,39.0,25.0,47.0,59.0,1.0,84.0]","[79.0,59.0,11.0,-1.0,-5.0,15.0,99.0,64.0,6.0,119.0]"
seed-12499-pa-0.35-pb-0.35,seed-12499-pa-0.35-pb-0.35:7,train,7,3,1.0,2.600206558916746,-9.0,-12.8,0.0,-9.0,A,5.529717694220725,5.320400987394339,5.533333333333333,10,"[14.0,-6.0,-5.0,4.0,-2.0,-41.0,-36.0,4.0,-16.0,-6.0]","[9.0,-21.0,-21.0,-6.0,-7.0,-3.0,-46.0,4.0,-6.0,-31.0]"
seed-12081-pa-0.65-pb-0.35,seed-12081-pa-0.65-pb-0.35:7,train,7,3,11.0,3.1269290813453736,42.7,35.5,0.0,42.7,A,13.966666666666665,9.236702153185771,15.49896053862251,10,"[0.0,9.0,6.0,44.0,84.0,79.0,1.0,6.0,119.0,79.0]","[44.0,4.0,1.0,39.0,47.0,79.0,79.0,6.0,12.0,44.0]"
seed-12236-pa-0.35-pb-0.20,seed-12236-pa-0.35-pb-0.20:3,train,3,-2,4.0,3.42974463538566,-8.3,-17.9,0.0,-8.3,A,3.279735761714145,8.791978667449603,6.317875873705936,10,"[-1.0,-1.0,-3.0,-16.0,-4.0,-1.0,-34.0,-8.0,-3.0,-12.0]","[-6.0,0.0,-2.0,-16.0,-4.0,-6.0,-84.0,-52.0,-2.0,-7.0]"
seed-12063-pa-0.20-pb-0.35,seed-12063-pa-0.20-pb-0.35:3,train,3,-2,-1.0,1.826413277982752,-8.0,-2.1,0.0,-2.1,B,4.234776656841932,0.9938701010583715,4.156520981141159,10,"[-4.0,-1.0,-6.0,-12.0,-44.0,-2.0,4.0,-9.0,-2.0,-4.0]","[-2.0,-4.0,-6.0,-6.0,-2.0,-2.0,4.0,0.0,1.0,-4.0]"
seed-12234-pa-0.65-pb-0.20,seed-12234-pa-0.65-pb-0.20:9,train,9,3,12.0,2.804882179158078,80.7,36.6,0.0,80.7,A,18.176938991786024,15.745334405961518,18.889415025352157,10,"[108.0,108.0,123.0,3.0,53.0,0.0,128.0,123.0,148.0,13.0]","[103.0,93.0,3.0,3.0,-5.0,8.0,45.0,118.0,-15.0,13.0]"
